id,model,specs,rating,votes,service_rating,price,price_discount,url
26818782-6840-11ec-a28b-00155dfc8241,"15.6"" Ноутбук Dell Vostro 3515 черный",HD (1366x768); TN+film; AMD Athlon Silver 3050U; ядра: 2 х 2.3 ГГц; RAM 4 ГБ; SSD 128 ГБ; AMD Radeon Graphics; Linux,0.0,0,0.0,46799,46799,https://www.dns-shop.ru/product/268187826840c824/156-noutbuk-dell-vostro-3515-cernyj/
648f358d-3d4e-4b4e-b110-5de023d6f77d,"15.6"" Ноутбук Lenovo IdeaPad 3 15ITL6 серый",Full HD (1920x1080); TN+film; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; без ОС,0.0,0,0.0,46799,46799,https://www.dns-shop.ru/product/648f358d3d4e6f77/156-noutbuk-lenovo-ideapad-3-15itl6-seryj/
dc6343ec-ebbf-11ec-8fd3-00155d8ed20b,"14"" Ультрабук HUAWEI MateBook D 14 NbD-WDH9 серебристый",Full HD (1920x1080); IPS; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; Windows 11 Home Single Language,4.5,130,99.77,54999,46999,https://www.dns-shop.ru/product/dc6343ecebbfed20/14-ultrabuk-huawei-matebook-d-14-nbd-wdh9-serebristyj/
cfbbbcf1-b2c8-11eb-a22b-00155d42eb09,"15.6"" Ноутбук Acer Extensa 15 EX215-22-R00X черный",Full HD (1920x1080); TN+film; AMD Ryzen 3 3250U; ядра: 2 х 2.6 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Vega 8; Windows 10 Pro,4.5,4,98.94,46999,46999,https://www.dns-shop.ru/product/cfbbbcf1b2c82eb0/156-noutbuk-acer-extensa-15-ex215-22-r00x-cernyj/
b0abfa83-7ab0-11ed-906a-00155d8ed20b,"15.6"" Ноутбук Digma Pro Sprint M серый",Full HD (1920x1080); IPS; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; Windows 11 Pro,0.0,0,0.0,46999,46999,https://www.dns-shop.ru/product/b0abfa837ab0ed20/156-noutbuk-digma-pro-sprint-m-seryj/
0d45c85c-36e7-11ec-8f16-00155d8ed20c,"15.6"" Ноутбук HP Laptop 15s-fq2124ur серебристый",Full HD (1920x1080); IPS; Intel Core i3-1125G4; ядра: 4 х 2 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,4.5,104,99.19,46999,46999,https://www.dns-shop.ru/product/0d45c85c36e7ed20/156-noutbuk-hp-laptop-15s-fq2124ur-serebristyj/
669ae1ae-63cb-11ed-9054-00155d8ed20b,"15.6"" Ноутбук Infinix InBook X2 PLUS XL25 красный",Full HD (1920x1080); IPS; Intel Core i5-1155G7; ядра: 4 х 2.5 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; Windows 11 Home,0.0,0,0.0,50999,46999,https://www.dns-shop.ru/product/669ae1ae63cbed20/156-noutbuk-infinix-inbook-x2-plus-xl25-krasnyj/
75a21646-63ca-11ed-9054-00155d8ed20b,"15.6"" Ноутбук Infinix InBook X2 PLUS XL25 серый",Full HD (1920x1080); IPS; Intel Core i5-1155G7; ядра: 4 х 2.5 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; Windows 11 Home,0.0,0,0.0,50999,46999,https://www.dns-shop.ru/product/75a2164663caed20/156-noutbuk-infinix-inbook-x2-plus-xl25-seryj/
f3cb9b7f-fd9d-11ec-8fe5-00155d8ed20b,"15.6"" Ноутбук Lenovo IdeaPad 3 15ALC6 серый",Full HD (1920x1080); TN+film; AMD Ryzen 5 5500U; ядра: 6 х 2.1 ГГц; RAM 8 ГБ; HDD 1000 ГБ; AMD Radeon Graphics; без ОС,5.0,2,100.0,46999,46999,https://www.dns-shop.ru/product/f3cb9b7ffd9ded20/156-noutbuk-lenovo-ideapad-3-15alc6-seryj/
1c50bb05-f2a6-11ec-8fdb-00155d8ed20c,"15.6"" Ноутбук Lenovo IdeaPad 3 15ITL6 серый",Full HD (1920x1080); TN+film; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; без ОС,0.0,0,0.0,46999,46999,https://www.dns-shop.ru/product/1c50bb05f2a6ed20/156-noutbuk-lenovo-ideapad-3-15itl6-seryj/
000014fb-2260-11ec-8ef8-00155d8ed20b,"15.6"" Ноутбук Lenovo V15 ADA серый",Full HD (1920x1080); TN+film; AMD Ryzen 3 3250U; ядра: 2 х 2.6 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; Windows 10 Pro,4.0,7,99.28,46999,46999,https://www.dns-shop.ru/product/000014fb2260ed20/156-noutbuk-lenovo-v15-ada-seryj/
cc6dbe53-3948-11ed-9022-00155d8ed20c,"15.6"" Ноутбук Tecno Megabook T1 голубой",Full HD (1920x1080); IPS; Intel Core i5-1035G1; ядра: 4 х 1 ГГц; RAM 16 ГБ; SSD 512 ГБ; Intel UHD Graphics; Linux,0.0,0,0.0,46999,46999,https://www.dns-shop.ru/product/cc6dbe533948ed20/156-noutbuk-tecno-megabook-t1-goluboj/
7eb7b07e-3949-11ed-9022-00155d8ed20c,"15.6"" Ноутбук Tecno Megabook T1 серебристый",Full HD (1920x1080); IPS; Intel Core i5-1035G1; ядра: 4 х 1 ГГц; RAM 16 ГБ; SSD 512 ГБ; Intel UHD Graphics; Linux,0.0,0,0.0,46999,46999,https://www.dns-shop.ru/product/7eb7b07e3949ed20/156-noutbuk-tecno-megabook-t1-serebristyj/
31e08891-1c3f-11ed-9003-00155d8ed209,"15.6"" Ноутбук MSI Modern 15 B12M-213XRU черный",Full HD (1920x1080); IPS; Intel Core i5-1235U; ядра: 2 + 8; RAM 16 ГБ; SSD 512 ГБ; Intel Iris Xe Graphics; без ОС,4.5,41,99.86,55999,47599,https://www.dns-shop.ru/product/31e088911c3fed20/156-noutbuk-msi-modern-15-b12m-213xru-cernyj/
cb96b9c7-065b-11ed-8fee-00155d8ed20c,"15.6"" Ноутбук Lenovo V15 G3 IAP черный",Full HD (1920x1080); TN+film; Intel Core i5-1235U; ядра: 2 + 8 х 1.3 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; без ОС,4.5,15,100.0,52999,47699,https://www.dns-shop.ru/product/cb96b9c7065bed20/156-noutbuk-lenovo-v15-g3-iap-cernyj/
aa67de52-938c-11eb-a243-00155dbd7607,"14"" Ноутбук Lenovo IdeaPad 5 14ALC05 серый",Full HD (1920x1080); IPS; AMD Ryzen 5 5500U; ядра: 6 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,46,98.7,47999,47999,https://www.dns-shop.ru/product/aa67de52938cd760/14-noutbuk-lenovo-ideapad-5-14alc05-seryj/
0d824860-0f7c-11ec-8ede-00155d8ed20b,"15.6"" Ноутбук ASUS VivoBook 15 F513EA-BQ2372W черный",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 512 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,0.0,0,0.0,47999,47999,https://www.dns-shop.ru/product/0d8248600f7ced20/156-noutbuk-asus-vivobook-15-f513ea-bq2372w-cernyj/
f6a4f766-3539-4b57-9a5d-5d66650bb100,"15.6"" Ноутбук Acer Aspire 3 A315-56-56XP черный",Full HD (1920x1080); TN+film; Intel Core i5-1035G1; ядра: 4 х 1 ГГц; RAM 12 ГБ; SSD 512 ГБ; Intel UHD Graphics; без ОС,5.0,1,100.0,47999,47999,https://www.dns-shop.ru/product/f6a4f7663539bb10/156-noutbuk-acer-aspire-3-a315-56-56xp-cernyj/
f6d30308-1463-11ed-8ffb-00155d8ed20b,"15.6"" Ноутбук Chuwi CoreBook XPro серый",Full HD (1920x1080); IPS; Intel Core i5-10210U; ядра: 4 х 1.6 ГГц; RAM 16 ГБ; SSD 512 ГБ; Intel UHD Graphics; Windows 11 Home Single Language,4.5,22,99.02,47999,47999,https://www.dns-shop.ru/product/f6d303081463ed20/156-noutbuk-chuwi-corebook-xpro-seryj/
b717a5ca-92f0-11ec-8f7a-00155d8ed20b,"15.6"" Ноутбук HP 255 G8 серебристый",Full HD (1920x1080); TN+film; AMD Ryzen 5 5500U; ядра: 6 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; без ОС,4.5,35,99.63,47999,47999,https://www.dns-shop.ru/product/b717a5ca92f0ed20/156-noutbuk-hp-255-g8-serebristyj/
03fc504f-b874-11eb-a264-00155d42eb15,"15.6"" Ноутбук Honor MagicBook X 15 BBR-WAI9A серый",Full HD (1920x1080); IPS; Intel Core i3-10110U; ядра: 2 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 10 Home Single Language,4.5,102,98.89,47999,47999,https://www.dns-shop.ru/product/03fc504fb8742eb1/156-noutbuk-honor-magicbook-x-15-bbr-wai9a-seryj/
f5115ee1-45e4-11ec-8f2e-00155d8ed20c,"15.6"" Ноутбук Honor MagicBook X15 BohrBR-WAI9A серый",Full HD (1920x1080); IPS; Intel Core i3-10110U; ядра: 2 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 10 Home Single Language,4.5,42,99.26,47999,47999,https://www.dns-shop.ru/product/f5115ee145e4ed20/156-noutbuk-honor-magicbook-x15-bohrbr-wai9a-seryj/
114015e2-c737-11ea-a211-00155d03332b,"17.3"" Ноутбук ASUS VivoBook D712DA-AU169T серебристый",Full HD (1920x1080); IPS; AMD Ryzen 3 3250U; ядра: 2 х 2.6 ГГц; RAM 8 ГБ; SSD 256 ГБ; AMD Radeon Graphics; Windows 10 Home Single Language,4.5,71,99.14,47999,47999,https://www.dns-shop.ru/product/114015e2c7373332/173-noutbuk-asus-vivobook-d712da-au169t-serebristyj/
fb734b35-e070-4f92-bda8-a687af099132,"15.6"" Ноутбук Lenovo V15 IML серый",английская раскладка; Full HD (1920x1080); TN+film; Intel Core i5-10210U; ядра: 4 х 1.6 ГГц; RAM 8 ГБ; SSD 256 ГБ; GeForce MX330 2 ГБ; без ОС,0.0,0,0.0,48499,48499,https://www.dns-shop.ru/product/fb734b35e0709913/156-noutbuk-lenovo-v15-iml-seryj/
c9fa8cc3-8d0c-11eb-a23c-00155dbd7607,"14"" Ноутбук ASUS ExpertBook B1 B1400CEAE-EB0465R черный",Full HD (1920x1080); IPS; Intel Core i3-1115G4; ядра: 2 х 3 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 10 Pro,5.0,1,100.0,48999,48999,https://www.dns-shop.ru/product/c9fa8cc38d0cd760/14-noutbuk-asus-expertbook-b1-b1400ceae-eb0465r-cernyj/
52944ab1-8590-4c41-966a-6fcdc98e3ecb,"15.6"" Ноутбук Acer Aspire 3 A315-56-56CG черный",Full HD (1920x1080); TN+film; Intel Core i5-1035G1; ядра: 4 х 1 ГГц; RAM 8 ГБ; HDD 1000 ГБ; Intel UHD Graphics; без ОС,0.0,0,0.0,49799,49799,https://www.dns-shop.ru/product/52944ab18590e3ec/156-noutbuk-acer-aspire-3-a315-56-56cg-cernyj/
3eb881af-438b-11ec-8f2b-00155d8ed20b,"14"" Ультрабук Honor MagicBook X14 NobelBR-WAI9B серый",Full HD (1920x1080); IPS; Intel Core i3-10110U; ядра: 2 х 2.1 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel UHD Graphics; Windows 10 Home Single Language,4.5,244,99.49,49999,49999,https://www.dns-shop.ru/product/3eb881af438bed20/14-ultrabuk-honor-magicbook-x14-nobelbr-wai9b-seryj/
ab5d592c-03fd-11ed-8feb-00155d8ed209,"15.6"" Ноутбук ASUS ExpertBook P1 P1512CEA-BQ0166 серый",Full HD (1920x1080); TN+film; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel Iris Xe Graphics; без ОС,5.0,2,100.0,49999,49999,https://www.dns-shop.ru/product/ab5d592c03fded20/156-noutbuk-asus-expertbook-p1-p1512cea-bq0166-seryj/
80276d5f-0f71-11ec-8ede-00155d8ed20b,"15.6"" Ноутбук ASUS VivoBook 15 F513EA-BQ2374 черный",Full HD (1920x1080); IPS; Intel Core i5-1135G7; ядра: 4 х 2.4 ГГц; RAM 8 ГБ; SSD 256 ГБ; Intel Iris Xe Graphics; без ОС,0.0,0,100.0,49999,49999,https://www.dns-shop.ru/product/80276d5f0f71ed20/156-noutbuk-asus-vivobook-15-f513ea-bq2374-cernyj/
